Marque_voiture,Modele,Kilometrage,Couleur,TypeBoite,Annee,Cylindre,Puissance,Carburant,Prix
Volkswagen,Polo,266.000,Gris,Manuelle,2010,1.2L,4,NULL,25000
Isuzu,Landwind,227,Blanc,Manuelle,1992,<1.0L,9,Diesel,20500
5,Essence,210000,Noir,Manuelle,Renault,Clio,Compacte,2008,26000
Ford,Fiesta,11200000,Noir,Manuelle,00000000,1.4L,00000000,Essence,3150000000
Volkswagen,Polo,17600000,Noir,Manuelle,000000,1.2L,1760000,Essence,210000000000
Ford,Escort,300000,Gris,Manuelle,1992,1.7L,7,Essence,4500
Ford,Escort,1000000,Blanc,Manuelle,1993,2.0L,5,Essence,10000
Peugeot,207,183000,Rouge,Manuelle,2013,>4.0L,6,Essence,19500
Fiat,Punto,1000,Gris,Manuelle,2023,1.2L,5,Essence,700
Volkswagen,Golf 6,354000,Noir,Automatique,2009,>4.0L,100,Diesel,30000
Renault,Clio,230,Gris,Manuelle,2006,1.2L,40,Essence,19500
Ford,Mondeo,250000,Autre,Manuelle,2014,1.8L,9,Essence,35000
Ford,Mondeo,250000,Autre,Manuelle,2014,1.8L,9,Essence,35000
Cabriolet,Noir,Manuelle,1.5L,Megane,106,Diesel,Avec kilométrage,0000,23000
Hyundai,I 10,120000,Autre,Manuelle,2017,1.2L,5,Essence,888
Citroen,Visa,785645,Camel,Manuelle,1987,2.2L,5,Essence,3000
5,Autres,250000,Gris,Manuelle,2015,1.1L,Essence,301,24000
Chevrolet,5,205000,Noir,1.4L,2013,Manuelle,Essence,Metro,22000
Citroen,Berlingo,478,Blanc,Manuelle,2011,1.6L,6,Diesel,34000
Isuzu,Landwind,0000,Blanc,Manuelle,1000,>4.0L,0000,Diesel,12000
Renault,Fluence,150000,Rouge,Manuelle,2001,1.4L,6,Essence,1111111111
Seat,Ibiza,158,Blanc,Manuelle,20133,1.2L,5,Essence,33000
Passat,12,Gris,Avec kilométrage,2008,1.8L,Volkswagen,Berline,195000,36500
A3,6,44000,Bleu,Automatique,2020,Audi,Compacte,3.0L,98000
Mahindra,Hover,92254,Blanc,Manuelle,2022,2.1L,7,Diesel,15998
Mercedes-Benz,Classe A,200000,Blanc,Manuelle,2014,1.4L,5,Diesel,57000
Audi,A3,230000,Noir,Manuelle,2007,1.9L,6,Diesel,111111
Kia,Picanto,150000,Blanc,Manuelle,2013,1.2L,4,Essence,27500
Volkswagen,Golf,350000,Noir,Manuelle,1999,1.4L,5,Essence,17500
Chevrolet,Aveo,1,Noir,Manuelle,2006,<1.0L,5,Essence,13000
Volkswagen,Touareg,-178000,Noir,Automatique,2007,3.0L,4 x 4,16,64998
Renault,Megane,123,Gris,Manuelle,2007,1.2L,7,Diesel,12500
Mazda,3,140000,Bleu,Manuelle,2017,1.6L,Berline,6,54000
Seat,Ibiza,158,Blanc,Manuelle,20133,1.2L,5,Essence,33000
Seat,Ibiza,158,Blanc,Manuelle,20133,1.2L,5,Essence,33000
Peugeot,205,11111,Rouge,Manuelle,1989,1.1L,4,Essence,8500
4,Rouge,Manuelle,1.4L,AX,4,Hybride,Avec kilométrage,Autres,6500
NULL,NULL,Blanc,Avec kilométrage,1988,1.9L,Peugeot,NULL,NULL,9500
AC,Cobra,400,Blanc,Manuelle,1999,1.8L,10,Diesel,11111111111
Kia,Picanto,33000,Autre,Manuelle,2019,1.4L,4,Autres,38000
Seat,Leon,165000,Gris,Manuelle,2017,1.4L,Compacte,5,59000
Citroen,Essence,190,Blanc,Manuelle,2013,1.2L,5,Berline,21999
Clio,5,147000,Blanc,Manuelle,2019,Renault,Compacte,>4.0L,37000
Kia,11,114000,Noir,Automatique,2021,1.6L,4 x 4,Sportage,120000
Volkswagen,Touareg,300000,Noir,Automatique,2006,>4.0L,4444,Diesel,29000
Avec kilométrage,2009,Gris,Manuelle,C3,4,Diesel,Autres,3.0L,22000
Citroen,C3,223,Rouge,Manuelle,2009,3.0L,5,Essence,20000
Diesel,NULL,275000,Blanc,2016,Fiat,Ducato,NULL,NULL,38000
Chery,A3,49200,Noir,Manuelle,2017,1.5L,6,Essence,36000000
Volkswagen,Passat,168000,Blanc,Manuelle,2018,1.4L,7,Essence,66000
Citroen,Nemo,204000,Blanc,Manuelle,2017,1.3L,5,Diesel,24000
Ford,Fiesta,235000,Gris,Automatique,2007,1.4L,5,Essence,19800
Chevrolet,Aveo,181000,Noir,Manuelle,2013,1.2L,5,Essence,27500
Peugeot,301,160000,Noir,Manuelle,2014,1.6L,5,Essence,21498
Citroen,Berlingo,49000,Gris,Manuelle,2019,1.6L,Diesel,0,48000
Suzuki,Celerio,45000,Blanc,Manuelle,2021,<1.0L,Essence,Autres,33000
Ford,Fiesta,280000,Gris,Manuelle,2007,1.2L,5,Essence,17499
Peugeot,Boxer,248000,Blanc,Manuelle,2012,2.2L,7,Utilitaire,35000
Essence,1.2L,29000,Rouge,Manuelle,2021,Mahindra,5,Hover,14000
Mercedes-Benz,190,400000,Gris,Manuelle,1990,2.5L,7,Diesel,17000
Ssangyong,Family,84600,Blanc,Automatique,2016,1.6L,7,Essence,65000
Mercedes-Benz,190,320,Bleu,Manuelle,1985,1.5L,7,Diesel,13000
Mercedes-Benz,Classe C,236000,Gris,Automatique,2010,1.6L,9,Essence,50000
Ford,Kuga,120000,Noir,Manuelle,2019,1.6L,8,Essence,78000
Renault,Clio,230,Gris,Manuelle,2006,1.2L,40,Essence,19500
Chevrolet,Spark,120000,Noir,Manuelle,2019,1.2L,5,Essence,24140207
Citroen,C3,106000,Rouge,Manuelle,2017,1.2L,5,Essence,34500
Mazda,3,122738,Rouge,Manuelle,2017,1.5L,6,Essence,52500
Ford,Fiesta,150,Bleu,Manuelle,2015,1.5L,5,Essence,29000
Toyota,Prado,3500,Noir,Automatique,2023,3.2L,13,Diesel,600
Autres,Autres,180,Doré,Manuelle,2021,<1.0L,5,Essence,24000
BMW,Serie 5,349000,Noir,Automatique,2007,>4.0L,11,Essence,42000
7,Essence,Noir,Avec kilométrage,1.6L,Renault,Megane,2007,Autres,17000
Fiat,Doblo,77100,Blanc,Manuelle,2019,1.5L,5,Diesel,34400
208,Autres,135,Marron,Manuelle,2013,Peugeot,Essence,1.2L,27000
Citroen,C3,121000,Blanc,Manuelle,2018,<1.0L,4,Essence,32800
Renault,Kadjar,100000,Noir,Manuelle,2019,>4.0L,7,Essence,85000
Mercedes-Benz,280,20000,Gris,Manuelle,1997,1.2L,7,Diesel,55000
Suzuki,Celerio,45000,Blanc,Manuelle,2021,<1.0L,Essence,Autres,33000
Land Rover,Range Rover Evoque,138000,Bleu,Automatique,2016,2.0L,15,Essence,102000
Mercedes-Benz,Classe C,260000,Gris,Manuelle,2011,2.2L,7,Diesel,50000
Nissan,Qashqai,335000,Gris,Manuelle,2011,1.5L,07,Diesel,40800
NULL,NULL,Blanc,Manuelle,Ford,Transit,Diesel,NULL,NULL,12000
Volkswagen,Caddy,215000,Blanc,Manuelle,2007,1.9L,6,Diesel,30500
Fiat,Fiorino,120,Blanc,Manuelle,2021,1.3L,Utilitaire,5,17500
Mercedes-Benz,Classe CLA,190,Gris,Automatique,2013,1.8L,7,Essence,69500
Mercedes-Benz,Classe E,150000,Gris,Automatique,2013,1.8L,Berline,11,79000
Skoda,Fabia,96000,Multicolore,Manuelle,2016,<1.0L,4,Essence,37000
Citroen,Nemo,220000,Blanc,Manuelle,2017,1.3L,7,Diesel,23500
BMW,Serie 7,0,Corail,Automatique,2023,1.5L,6,Essence,180
Volkswagen,Polo,230500,Gris,Manuelle,2006,1.2L,Compacte,4,21500
Citroen,C4,249000,Noir,Manuelle,2012,1.4L,6,Essence,27000
A3,Essence,80000,Blanc,Automatique,2019,Chery,5,Berline,38000
Citroen,C35,40000,Gris,Manuelle,2019,1.2L,4,Essence,40000
Volkswagen,Polo,369,Blanc,Manuelle,2001,1.2L,4,Essence,10600
Mahindra,5,35000,Gris,Manuelle,2019,1.2L,Hover,Essence,31500
Renault,Megane Estate,192000,Noir,Manuelle,2006,1.4L,6,Essence,22500
Nouveau,1.1L,16.000,Bleu,2022,Renault,Essence,Clio,Autres,59000
Kia,Picanto,52000,Noir,Automatique,2021,>4.0L,Compacte,4,42000
C3,4,180000,Blanc,2012,1.2L,Citroen,Autres,Manuelle,27500
Autres,Autres,76000,Blanc,Manuelle,2016,2.2L,11,Diesel,53861993
Polo,Diesel,270000,Gris,2010,1.6L,Volkswagen,Avec kilométrage,04,21000
Seat,Ibiza,55000,Noir,Manuelle,2020,1.1L,6,Essence,68000
Ford,Fiesta,187000,Bleu,Manuelle,2014,1.2L,5,Essence,23000
Kia,Sportage,330000,Gris,Manuelle,2013,1.7L,7,Diesel,55000
Volkswagen,Polo,276000,Blanc,Manuelle,1995,1.4L,5,Essence,9500
Seat,Leon,200000,Blanc,Manuelle,2016,1.2L,6,Essence,43000
Chevrolet,Cruze,120000,Blanc,Manuelle,2012,1.2L,5,Essence,20000
BMW,Serie 5,36000,Blanc,Automatique,2020,3.5L,10,Berline,185000
Volvo,9,35000,Noir,Automatique,2022,1.5L,Autres,S40,159000
Fiat,Panda,9000,Gris,Manuelle,2022,1.2L,4,Essence,46500
Fiat,Siena,221000,Noir,Manuelle,2005,<1.0L,4,Essence,17000
Punto,4,25125,Blanc,Manuelle,2016,Fiat,Compacte,1.2L,33000
Golf,Essence,1770000,Avec kilométrage,2013,1.2L,Volkswagen,5,Autres,47000
504,8,100,Bleu,Manuelle,2.0L,Peugeot,Berline,1976,1000
Opel,Frontera,123456,Gris,Manuelle,1999,2.0L,9,Diesel,22500
Renault,Kangoo,245000,Blanc,Manuelle,2003,1.5L,7,Diesel,17000
Captur,Essence,98000,Bleu,2014,6,Renault,Avec kilométrage,Autres,37000
Mercedes-Benz,Classe A,5000,Blanc,Automatique,2020,>4.0L,6,Essence,300
Volkswagen,Passat CC,194,Gris,Automatique,2008,1.8L,12,Essence,36500
Suzuki,Vitara,80000,Rouge,Automatique,2018,>4.0L,6,Essence,65000
Autres,Autres,45000,Gris,Manuelle,2017,1.2L,5,Essence,45000
Citroen,C-Elysée,80000,Gris,Manuelle,2019,1.2L,5,Essence,32000
Audi,A3,140,Noir,Manuelle,2015,1.5L,5,Essence,62000
Toyota,Aygo,53000,Noir,Manuelle,2021,<1.0L,4,Essence,34000
Mahindra,Hover,630000,Noir,Manuelle,2019,1.1L,5,Essence,30500
Volkswagen,Passat,350.000,Autre,Manuelle,2010,1.6L,7,Essence,33500
Peugeot,301,150000,Blanc,Manuelle,2013,1.2L,5,Essence,23000
Renault,Megane,300000,Gris,Manuelle,1999,1.6L,7,Essence,14900
Essence,NULL,222000,Noir,Manuelle,2017,6,NULL,NULL,34500
C3,Essence,119,Rouge,Manuelle,2018,Citroen,5,1.2L,32000
NULL,NULL,5.0,C3,2013.0,Diesel,Citroen,NULL,NULL,22000
Audi,A4,68000,Gris,Manuelle,2014,1.8L,7,Essence,52000
Kia,Picanto,90000,Gris,Automatique,2019,1.2L,5,Essence,42000
Land Rover,Range Rover,117,Noir,Automatique,2016,>4.0L,15,Autres,150000
Kia,Rio,160000,Noir,Manuelle,2015,1.2L,5,Essence,34998
Peugeot,206+,300,Gris,Manuelle,2001,1.2L,4,Essence,1350
Iveco,Daily,100000,Blanc,Automatique,2022,3.2L,14,Diesel,250
Mahindra,Hover,630000,Noir,Manuelle,2019,1.1L,5,Essence,30500
Renault,Kadjar,100000,Noir,Manuelle,2019,>4.0L,7,Essence,85000
Ford,Mondeo,236,Noir,Manuelle,2008,1.6L,7,Essence,23500
Nissan,Juke,139000,Marron,Automatique,2014,1.6L,7,Essence,45000
Kia,C'eed,95000,Autre,Manuelle,2017,1.4L,6,Essence,47500
Toyota,Yaris Verso,317000,Beige,Manuelle,2014,1.6L,6,Essence,36000
6,Diesel,Blanc,1.5L,2008,Renault,Megane,400000,Compacte,20000
Citroen,Berlingo,350,Blanc,Manuelle,2009,1.9L,6,Diesel,23500
Peugeot,206,80000,Bleu,Manuelle,2006,1.2L,4,Essence,14000
Peugeot,106,300000,Gris,Manuelle,1999,<1.0L,4,Essence,11500
Nissan,Qashqai,147000,Bleu,Automatique,2011,2.0L,9,Essence,38000
Polo,5,290000,Avec kilométrage,1998,<1.0L,Volkswagen,Essence,Compacte,11500
Renault,Clio,400,Rouge,Manuelle,2003,1.2L,4,Essence,18000
Fiat,Palio,188000,Gris,Manuelle,2004,1.4L,5,Essence,8700
Renault,Symbol,160000,Noir,Manuelle,2018,1.2L,1111,Essence,1111
Skoda,Fabia,115000,Multicolore,Manuelle,2017,<1.0L,4,Essence,36500
Ssangyong,Actyon,135000,Blanc,Manuelle,2018,2.0L,7,Diesel,50000
Volkswagen,Polo,265000,Noir,Manuelle,2005,1.2L,5,Essence,18300
Kia,Picanto,49000,Beige,Automatique,2020,3.0L,5,Essence,42500
Kia,Rio,142,Gris,Manuelle,2016,1.2L,5,Essence,111111111111111
Renault,Symbol,174000,Blanc,Manuelle,2010,1.2L,5,Essence,22000
Peugeot,Partner,320,Blanc,Manuelle,2004,1.7L,7,Diesel,15500
Citroen,Jumper,317000,Blanc,Manuelle,2018,3.0L,7,Diesel,43000
Audi,Q5,19900,Blanc,Automatique,2017,2.0L,10,Autres,155000
BMW,Serie 3,217000,Bleu,Automatique,2012,2.0L,10,Diesel,75000
Volkswagen,Golf,114000,Noir,Manuelle,2013,1.4L,5,Diesel,65000
Autres,Autres,150000,Rouge,Manuelle,2017,1.5L,5,Essence,28000
Peugeot,207,200000,Noir,Manuelle,2011,1.2L,4,Essence,21500
Clio,5,Beige,Avec kilométrage,Manuelle,1.4L,Renault,Berline,2008,25000
Peugeot,106,113000,Gris,Manuelle,1997,1.4L,4,Essence,10900
Polo,4,Blanc,Avec kilométrage,1999,<1.0L,Volkswagen,Compacte,499999,11800
106,1.4L,113000,Avec kilométrage,Manuelle,1997,Peugeot,4,Essence,10900
Citroen,C3,150000,Blanc,Manuelle,2017,1.2L,5,Autres,36000
Citroen,Berlingo,180000,Noir,Manuelle,2018,1.4L,7,Essence,43000
Citroen,C-Elysée,230000,Gris,Manuelle,2014,1.2L,5,Essence,25500
Peugeot,208,146,Noir,Manuelle,2013,1.2L,5,Essence,27500
Citroen,C4 Cactus,169000,Violet,Manuelle,2015,1.2L,5,Essence,36500
3.0L,Nissan,74400,Noir,2018,5,Avec kilométrage,Micra,Essence,32000
Audi,A3,200000,Gris,Manuelle,2015,1.2L,Berline,Essence,52500
Citroen,Berlingo,239000,Bleu,Manuelle,2010,1.9L,7,Diesel,22000
Chery,A3,58000,Noir,Manuelle,1.2L,2018,6,Essence,35000
Volkswagen,Tiguan,66000,Rouge,Manuelle,2019,2.0L,150,Diesel,160000
Peugeot,Bipper,217000,Blanc,Manuelle,2015,1.4L,6,Diesel,21700
Suzuki,4 x 4,123000,Rouge,Manuelle,1990,<1.0L,Essence,SX4,18000
Volkswagen,Polo,265000,Noir,Manuelle,2005,1.2L,Autres,5,18500
Grand i10,Essence,45000,Gris,Automatique,2018,Hyundai,Compacte,1.2L,42000
>4.0L,Nouveau,217000,Automatique,Fiat,Freemont,Diesel,4 x 4,11,50000
Ssangyong,Family,62000,Noir,Manuelle,2020,1.6L,6,Essence,67000
Peugeot,407,190000,Noir,Manuelle,2008,1.6L,6,Diesel,22000
Peugeot,301,150000,Beige,Manuelle,2017,3.0L,5,Essence,21497
Hyundai,I 10,20000,Gris,Manuelle,2022,1.4L,5,Essence,98400717
505,10,Multicolore,Avec kilométrage,>4.0L,1987,Peugeot,Autres,498,7000
Peugeot,2008,164000,Blanc,Manuelle,2017,1.2L,5,Essence,39000
Mercedes-Benz,Classe E,50000,Noir,Automatique,216,2.0L,10,Essence,165000
Essence,C4 Cactus,169000,Violet,Manuelle,2015,Citroen,5,Autres,36500
Peugeot,208,280,Jaune,Manuelle,2018,1.4L,Autres,4,30000
Volkswagen,Golf 7,142000,Doré,Manuelle,2018,1.2L,6,Essence,58500
Opel,Corsa,190000,Noir,Manuelle,2000,3.0L,Autres,Essence,13000
Opel,Corsa,190000,Noir,Manuelle,2000,3.0L,Autres,Essence,13000
Opel,Corsa,190000,Noir,Manuelle,2000,3.0L,Autres,Essence,13000
6,Essence,102000,Noir,Avec kilométrage,2018,1.5L,Autres,Autres,39000
Kia,Sportage,214000,Blanc,Manuelle,2012,1.7L,6,Diesel,123456
Diesel,5,Blanc,2017,Citroen,Berlingo,Avec kilométrage,Autres,>4.0L,30000
Diesel,5,Blanc,2017,Citroen,Berlingo,Avec kilométrage,Autres,>4.0L,30000
Autres,Autres,104000,Gris,Automatique,2019,1.5L,7,Essence,53656448
Mahindra,5,35000,Gris,Manuelle,2019,1.2L,Hover,Essence,34000
Polo,Berline,220000,Jaune,Manuelle,2021,Volkswagen,1.6L,Diesel,46000
Peugeot,407,410,Noir,Manuelle,2004,1.6L,6,Diesel,20000
Peugeot,Expert,152000,Noir,Manuelle,2019,2.0L,7,Diesel,62000
AC,Cobra,600,Blanc,Automatique,2023,<1.0L,600,Essence,600
Seat,Ibiza,177000,Noir,Manuelle,2015,1.2L,5,Essence,33000
Monospace,Dokker,153000,Nouveau,2021,Dacia,Diesel,Gris,<1.0L,45000000
Mercedes-Benz,Classe C Coupe,9000,Noir,Automatique,2017,1.6L,10,Essence,175000
Fiat,Panda,114000,Camel,Manuelle,2017,2.0L,4,Essence,32500
Peugeot,Partner,0000,Gris,Manuelle,2012,1.3L,5,Diesel,199
Peugeot,Partner,0000,Gris,Manuelle,2012,1.3L,5,Diesel,199
Renault,Megane,185,Noir,Manuelle,2010,1.6L,6,Essence,12345
BMW,Serie 3,30000,Noir,Manuelle,2002,3.0L,8,Diesel,25000
Peugeot,5008,178,Noir,Manuelle,2011,1.6L,6,Diesel,1111
Suzuki,Celerio,0,Blanc,Manuelle,2023,1.1L,4,Essence,32471
Peugeot,407,410,Noir,Manuelle,2004,1.6L,6,Diesel,20000
Peugeot,407,410,Noir,Manuelle,2004,1.6L,6,Diesel,20000
Mahindra,Scorpion,123,Noir,Manuelle,2014,2.5L,8,Diesel,123
C4,Essence,Autre,Avec kilométrage,Manuelle,2013,Citroen,Autres,<1.0L,26000
Nissan,Juke,54000,Autre,Automatique,2022,<1.0L,6,Essence,87000
Suzuki,Alto,43000,Gris,Manuelle,2020,1.2L,5,Essence,49000
Citroen,C-Elysée,Noir,270000,Manuelle,2016,5,Essence,1.2L,18000
Peugeot,406,0000,Gris,Automatique,198,1.6L,9,Essence,1400000
Essence,Avec kilométrage,Blanc,7.0,380000.0,1.4L,1990.0,Toyota,NULL,6300
mini,One,179000,Beige,Manuelle,2009,1.4L,5,Essence,111
Seat,Altea XL,245,Gris,Manuelle,2016,1.6L,5,Diesel,45000000
Autres,Autres,61000,Bleu,Manuelle,2021,1.2L,7,Autres,60000
Autres,Autres,61000,Noir,Manuelle,2021,1.2L,7,Essence,60000
Renault,Megane,333000,Manuelle,2009,Avec kilométrage,1.5L,5,Compacte,27000
Volkswagen,Golf,170,Blanc,Manuelle,2012,1.4L,5,Essence,38000
Fiat,Punto,0000,Vert,Manuelle,000,>4.0L,000,Essence,9800
Peugeot,207,159000,Bleu,Manuelle,2012,1.4L,5,Essence,29998
Mercedes-Benz,Vito,170000,Noir,Manuelle,2005,2.0L,7,Diesel,61000
Peugeot,301,251000,Gris,Manuelle,1.1L,2015,Autres,5,24000
Autres,9,Marron,Avec kilométrage,2020,>4.0L,Autres,4 x 4,25000,91000
Mazda,3,120000,Bleu,Manuelle,2017,1.5L,6,Essence,52000
Volkswagen,Golf 7,100000,Bleu,Manuelle,2019,<1.0L,6,Essence,111
Renault,Symbol,160000,Blanc,Manuelle,2010,1.1L,5,Essence,23000
Citroen,C3,196,Gris,Manuelle,2012,1.4L,5,Essence,999999999
Chevrolet,Optra,267,Noir,Manuelle,2008,1.6L,6,Essence,17000
Land Rover,Range Rover,234000,Blanc,Automatique,2015,2.2L,11,Diesel,120000
Land Rover,Range Rover Sport,234000,Blanc,Automatique,2015,2.2L,11,Diesel,120000
Land Rover,Range Rover,234000,Blanc,Automatique,2015,2.2L,11,Diesel,120000
AC,Seven,5000,Gris,Manuelle,19889,1.5L,5,Essence,13000
Hyundai,Santa Fe,160000,Gris,Automatique,2017,2.0L,12,Diesel,115000
2005,Manuelle,Essence,Autres,Opel,Astra,1.4L,Avec kilométrage,280000,21500
Citroen,C-Elysée,118000,Gris,Manuelle,2018,1.2L,5,Essence,30000
Peugeot,Compacte,99500,Gris,<1.0L,2011,Manuelle,206,Essence,25000
Renault,R19,350000,Camel,1.6L,Manuelle,2000,7,Essence,9200
Renault,Megane,35000,Gris,Manuelle,2019,1.2L,7,Essence,73000
Nissan,Juke,180000,Gris,Manuelle,2013,1.6L,Autres,5,11111
Peugeot,Partner,260,Blanc,Manuelle,2012,1.6L,5,Diesel,25500
0,NULL,Bleu,4,Fiat,Uno,Manuelle,NULL,NULL,4500
Kia,Sorento,203000,Noir,Automatique,2014,2.2L,12,Diesel,65000
106,4,Gris,Avec kilométrage,1997,1.5L,Peugeot,Pick up,113000,10900
Volkswagen,Caddy,400000,Blanc,Manuelle,2017,1.2L,7,Diesel,350000
Land Rover,Range Rover Evoque,53000,Noir,Automatique,2019,3.0L,8,Hybride,2500000
Frontera,5,Jaune,Avec kilométrage,1990,1.4L,Opel,Autres,600.000,22222
Ford,Focus C-MAX,36000,Noir,Manuelle,2018,<1.0L,6,Essence,58000
Renault,Clio,224,Noir,Manuelle,2004,1.2L,4,Essence,22000
Renault,Clio,224,Noir,Manuelle,2004,1.2L,4,Essence,22000
Suzuki,Samurai,190000,Blanc,Manuelle,1986,1.6L,6,Essence,26000
Nissan,Terrano,280000,Vert,Automatique,2004,3.0L,10,Diesel,40000
Fiat,Ducato,Blanc,1,Manuelle,2005,2.9L,Monospace,7,16000
Ford,Escort,150,Vert,Automatique,1990,1.2L,5,Essence,10500
Kia,Sorento,203000,Noir,Automatique,2014,2.2L,12,Diesel,65000
Seat,Leon,162000,Gris,Manuelle,2015,1.2L,5,Compacte,41000
Focus,Compacte,135000,Autre,Manuelle,1.6L,Ford,Essence,7,37500
207,4,400,Blanc,Manuelle,2007,Peugeot,Berline,1.2L,20000
Peugeot,205,300000,Blanc,Manuelle,1985,<1.0L,5,Essence,4000
Volkswagen,Polo,180000,Gris,Manuelle,2013,3.0L,Autres,5,31000
Avec kilométrage,Bleu,280000,Essence,Autres,Citroen,C5,2011,2.1L,26000
Seat,Ibiza,92500,Noir,Manuelle,2017,<1.0L,4,Essence,38000
Renault,Twingo,127,Rouge,Automatique,2016,1.2L,5,Essence,22500
Diesel,Manuelle,258000,Blanc,Autres,Autres,Berline,Nouveau,7,210000
Volkswagen,Polo,800000,Blanc,Manuelle,2016,1.6L,5,Diesel,25000
Peugeot,308 SW,126000,Blanc,Automatique,2018,1.2L,130,Essence,49000
Toyota,Yaris,190,Gris,Manuelle,2019,1.3L,6,Essence,123
Seat,Leon,200000,Blanc,Manuelle,2016,1.2L,6,Essence,43000
BMW,Serie 3,200000,Gris,Manuelle,2014,2.0L,10,Diesel,1000
Fiat,500,133327,Autre,Manuelle,2014,<1.0L,0000,Essence,34000
Peugeot,Partner,187000,Blanc,Manuelle,2012,1.6L,5,Diesel,28000
Fiat,Palio,170,Gris,Manuelle,2006,<1.0L,4,Essence,17000
Peugeot,Boxer,300,Blanc,Manuelle,2002,2.7L,Compacte,26535921,16500
Volkswagen,Polo,160000,Noir,Manuelle,2012,1.2L,Compacte,NULL,29500
Avec kilométrage,Vert,Autres,Essence,>4.0L,Manuelle,0000,000,000,9800
Peugeot,301,251000,Gris,Manuelle,1.1L,2015,Autres,5,24000
Dacia,Dokker,234000,Blanc,Manuelle,2017,1.5L,6,Diesel,25000
Volkswagen,Amarok,332000,Gris,Manuelle,2011,2.0L,7,Diesel,53996
Hyundai,I 20,117,Blanc,Manuelle,2014,1.3L,4,Essence,31500
Autres,5,180,Doré,Manuelle,2021,<1.0L,Autres,Autres,24000
Volkswagen,Passat,0,Noir,Manuelle,2010,2.0L,8,Diesel,30000
Hyundai,I 10,68120,Gris,Manuelle,2021,<1.0L,4,Essence,40500
Renault,Clio,79000,Noir,Manuelle,2020,<1.0L,4,Essence,40300
Citroen,C-Elysée,280000,Noir,Manuelle,2015,3.0L,5,Essence,23000
Citroen,C-Elysée,280000,Noir,Manuelle,2015,3.0L,5,Essence,23000
Essence,1995,260,Gris,Avec kilométrage,Renault,Clio,>4.0L,Autres,20000
Renault,Clio,247000,Noir,Manuelle,2009,1.5L,1,Essence,22000
5,Diesel,230000,Avec kilométrage,2015,Peugeot,Partner,1.6L,Gris,25300
Kia,Rio,162700,Noir,Manuelle,2014,1.5L,5,Essence,34000
Kia,Rio,120000,Noir,Manuelle,2012,1.2L,5,Essence,35000
Renault,Symbol,112,Noir,Manuelle,2018,1.2L,5,Essence,111
Citroen,C-Elysée,280000,Noir,Manuelle,2015,3.0L,5,Essence,23000
Volkswagen,Golf 7,150,Gris,Manuelle,2015,1.2L,5,Essence,53000
Volkswagen,Polo,92,Blanc,Manuelle,2020,1.4L,5,Essence,41800
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118000
Classe A,7,290000,Noir,Manuelle,1.6L,Mercedes-Benz,Compacte,2002,13500
Renault,Megane,456,Bleu,Manuelle,2004,1.5L,6,Diesel,13800
Renault,Clio,161,Blanc,Manuelle,2019,1.5L,4,Diesel,123
20,Avec kilométrage,Peugeot,Essence,1.4L,05,Compacte,100,Automatique,550
1.6L,Essence,Ford,Focus,Gris,Avec kilométrage,Manuelle,200000,7,150
NULL,NULL,90000,Bleu,Seat,Leon,NULL,NULL,NULL,45000
Volkswagen,Golf,226000,Gris,Automatique,2010,1.4L,5,Essence,38500
Renault,Clio,192000,Gris,Manuelle,2007,1.2L,5,Essence,23000
Chevrolet,Aveo,155000,Noir,Manuelle,2014,1.2L,5,Essence,27000
Peugeot,3008,28000,Gris,Automatique,2022,>4.0L,9,Essence,138000
Essence,Automatique,63000,Noir,2018,3.0L,9,Autres,Compacte,63500
2007.0,Diesel,Berline,Gris,C4,190.0,1.6L,Avec kilométrage,Manuelle,24000
Ford,Fiesta,0,Gris,Manuelle,2008,1.2L,4,Diesel,22000
AC,Seven,5000,Gris,Manuelle,19889,1.5L,5,Essence,13000
Ford,Fiesta,240000,Noir,Manuelle,2016,1.4L,5,Essence,32000
Hyundai,I 10,180,Gris,Manuelle,2018,1.2L,5,Essence,25000
Kia,Sportage,90000,Noir,Automatique,2018,1.6L,8,Essence,82000
Mercedes-Benz,280,20000,Gris,Manuelle,1997,1.2L,7,Diesel,55000
Mercedes-Benz,Classe ML,250000,Noir,Automatique,2008,3.0L,16,Diesel,68000
Renault,Clio,400,Gris,Manuelle,2002,1.9L,4,Diesel,7300
Honda,City,78600,Blanc,Automatique,2020,1.5L,7,Essence,58000
Autres,Autres,77400,Rouge,Manuelle,2018,1.4L,6,Essence,38000
Dacia,Duster,250,Gris,Manuelle,2013,1.9L,85,Essence,50000
Isuzu,D-MAX,123548888,Blanc,Manuelle,1986,2.1L,1111,Diesel,2500
Peugeot,Bipper,214,Blanc,Manuelle,2018,1.4L,23000,Diesel,23000
Peugeot,Bipper,214,Blanc,Manuelle,2018,1.4L,23000,Diesel,23000
Renault,Super 5,300,Autre,Manuelle,1990,<1.0L,4,Essence,6700
Toyota,Prado,0000,Blanc,Manuelle,2008,3.0L,11,Diesel,85000
Renault,Clio,66500,Vert,Manuelle,2019,1.2L,4,Essence,43000
Fiat,Uno,250,Blanc,Manuelle,2002,1.3L,5,Essence,8000
Mercedes-Benz,Classe ML,200000,Bleu,Automatique,1999,3.0L,16,Essence,31000
2010,Symbol,159000,Manuelle,Argent,Avec kilométrage,1.4L,5,Autres,21997
